OBJECTID,aland10,awater10,classfp10,funcstat10,geoid10,intptlat10,intptlon10,mtfcc10,partflg10,statefp10,zcta5ce10,Town,State,LookUp_Zip,Fall17,Fall18,Fall19,Fall20,Fall21,Fall22,Shape__Area,Shape__Length,Sum1722,Shape_Length,Shape_Area
1,7007276.000000000000000,81405.000000000000000,B5,S,0906089,+41.8374877,-072.8219639,G6350,N,09,06089,Weatogue,Connecticut,06089,3.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,12780019.988281300291419,19658.174084996098827,13,19658.173905440369708,12780020.068017084151506
2,10466921.000000000000000,364560.000000000000000,B5,S,0906114,+41.7408539,-072.6706948,G6350,N,09,06114,Hartford,Connecticut,06114,18.000000000000000,24.000000000000000,21.000000000000000,18.000000000000000,18.000000000000000,18.000000000000000,19468659.312500000000000,19918.708573391500977,117,19918.708917611940706,19468659.324924979358912
3,6079380.000000000000000,0.000000000000000,B5,S,0906105,+41.7746795,-072.7050316,G6350,N,09,06105,Hartford,Connecticut,06105,3.000000000000000,8.000000000000000,12.000000000000000,7.000000000000000,6.000000000000000,3.000000000000000,10939109.468750000000000,23830.761145193901029,39,23830.761673051474645,10939109.522370480000973
4,10602237.000000000000000,0.000000000000000,B5,S,0906051,+41.6651405,-072.7698317,G6350,N,09,06051,New Britain,Connecticut,06051,12.000000000000000,9.000000000000000,9.000000000000000,16.000000000000000,10.000000000000000,10.000000000000000,19012988.679687500000000,24166.129602362401783,66,24166.129272821501218,19012988.772449400275946
5,56199044.000000000000000,602242.000000000000000,B5,S,0906070,+41.8742556,-072.8089402,G6350,N,09,06070,Simsbury,Connecticut,06070,15.000000000000000,10.000000000000000,8.000000000000000,11.000000000000000,11.000000000000000,10.000000000000000,102530130.070313006639481,82835.266840481795953,65,82835.266740518825827,102530130.314011260867119
6,76633889.000000000000000,3781523.000000000000000,B5,S,0906095,+41.8710365,-072.6750825,G6350,N,09,06095,Windsor,Connecticut,06095,46.000000000000000,40.000000000000000,44.000000000000000,46.000000000000000,41.000000000000000,32.000000000000000,145130927.222656011581421,58348.992301818201668,249,58348.992240701205446,145130927.023054957389832
7,29142176.000000000000000,1297022.000000000000000,B5,S,0906088,+41.9121863,-072.5850484,G6350,N,09,06088,East Windsor,Connecticut,06088,3.000000000000000,4.000000000000000,3.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,54994859.652343802154064,34955.287645908101695,18,34955.287339924194384,54994859.649265006184578
8,24860683.000000000000000,885163.000000000000000,B5,S,0906096,+41.9276300,-072.6597028,G6350,N,09,06096,Windsor Locks,Connecticut,06096,8.000000000000000,8.000000000000000,6.000000000000000,6.000000000000000,5.000000000000000,4.000000000000000,46546732.867187500000000,30782.264857384099741,37,30782.265124789530091,46546733.002485565841198
9,1787093.000000000000000,164281.000000000000000,B5,S,0906081,+41.9051870,-072.7725513,G6350,N,09,06081,Tariffville,Connecticut,06081,3.000000000000000,4.000000000000000,4.000000000000000,4.000000000000000,4.000000000000000,2.000000000000000,3525640.476562500000000,11329.973047107700040,21,11329.973255968368903,3525640.515810264740139
10,140568.000000000000000,0.000000000000000,B5,S,0906160,+41.7665960,-072.6911263,G6350,N,09,06160, Hartford,Connecticut,06160,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,252872.296875000000000,2100.488261117050115,0,2100.488250295659327,252872.281345632887678
11,25665833.000000000000000,760959.000000000000000,B5,S,0906118,+41.7487016,-072.6096858,G6350,N,09,06118,East Hartford,Connecticut,06118,38.000000000000000,47.000000000000000,53.000000000000000,52.000000000000000,43.000000000000000,39.000000000000000,47513655.437500000000000,30286.234887214901391,272,30286.234974407681875,47513655.414853014051914
12,60750357.000000000000000,1218215.000000000000000,B5,S,0906001,+41.7871585,-072.8520463,G6350,N,09,06001,Avon,Connecticut,06001,16.000000000000000,13.000000000000000,15.000000000000000,10.000000000000000,8.000000000000000,9.000000000000000,111560998.097655996680260,53800.837529074502527,71,53800.837116606715426,111560998.145156547427177
13,146433098.000000000000000,6733528.000000000000000,B5,S,0906098,+41.9561855,-073.0863615,G6350,N,09,06098,Winsted,Connecticut,06098,5.000000000000000,5.000000000000000,5.000000000000000,3.000000000000000,2.000000000000000,3.000000000000000,277169038.964843988418579,111500.175415406993125,23,111500.175341769878287,277169039.073887348175049
14,4655719.000000000000000,43125.000000000000000,B5,S,0906481,+41.5365188,-072.6982365,G6350,N,09,06481,Rockfall,Connecticut,06481,2.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,8392400.117187500000000,13653.534199781699499,6,13653.534122621354982,8392400.143856883049011
15,54485280.000000000000000,429890.000000000000000,B5,S,0906248,+41.6885779,-072.4091067,G6350,N,09,06248,Hebron,Connecticut,06248,32.000000000000000,29.000000000000000,28.000000000000000,40.000000000000000,42.000000000000000,47.000000000000000,98539436.308593794703484,49583.447075973097526,218,49583.446973074576817,98539436.530447140336037
16,9214593.000000000000000,1044842.000000000000000,B5,S,0906120,+41.7890733,-072.6643555,G6350,N,09,06120,Hartford,Connecticut,06120,6.000000000000000,8.000000000000000,9.000000000000000,11.000000000000000,10.000000000000000,6.000000000000000,18468992.402343798428774,24307.981133917499392,50,24307.981196143970010,18468992.364128485321999
17,59460853.000000000000000,1137672.000000000000000,B5,S,0906019,+41.8575078,-072.9027654,G6350,N,09,06019,Canton,Connecticut,06019,8.000000000000000,5.000000000000000,5.000000000000000,6.000000000000000,3.000000000000000,4.000000000000000,109327237.988280996680260,64828.820996668000589,31,64828.821071267127991,109327238.102860257029533
18,12367991.000000000000000,338311.000000000000000,B5,S,0906085,+41.7489547,-072.8894148,G6350,N,09,06085,Unionville,Connecticut,06085,6.000000000000000,2.000000000000000,3.000000000000000,5.000000000000000,6.000000000000000,6.000000000000000,22843463.390625000000000,34975.996534812897153,28,34975.996112741820980,22843463.250467129051685
19,1214033.000000000000000,60241.000000000000000,B5,S,0906103,+41.7672084,-072.6742569,G6350,N,09,06103,Hartford,Connecticut,06103,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,2292387.613281250000000,9847.567304205980690,5,9847.567097774177455,2292387.641564785037190
20,34034916.000000000000000,0.000000000000000,B5,S,0906111,+41.6869935,-072.7308384,G6350,N,09,06111,Newington,Connecticut,06111,37.000000000000000,31.000000000000000,39.000000000000000,38.000000000000000,38.000000000000000,37.000000000000000,61075974.582031302154064,34030.215425601498282,220,34030.215319398754218,61075974.467311434447765
21,72677501.000000000000000,1572274.000000000000000,B5,S,0906074,+41.8380902,-072.5778358,G6350,N,09,06074,South Windsor,Connecticut,06074,102.000000000000000,90.000000000000000,79.000000000000000,70.000000000000000,66.000000000000000,53.000000000000000,133854549.773438006639481,49265.410273223802506,460,49265.410363819144550,133854549.767053887248039
22,88936382.000000000000000,1442061.000000000000000,B5,S,0906033,+41.7074611,-072.5389303,G6350,N,09,06033,Glastonbury,Connecticut,06033,54.000000000000000,47.000000000000000,44.000000000000000,39.000000000000000,42.000000000000000,47.000000000000000,162289553.847656011581421,76856.169966571105761,273,76856.169690612019622,162289553.531954914331436
23,77047287.000000000000000,1725405.000000000000000,B5,S,0906013,+41.7575167,-072.9575607,G6350,N,09,06013,Burlington,Connecticut,06013,17.000000000000000,10.000000000000000,8.000000000000000,5.000000000000000,2.000000000000000,3.000000000000000,141676498.695313006639481,49948.422045828498085,45,49948.422147086581390,141676498.826032429933548
24,86169677.000000000000000,2448012.000000000000000,B5,S,0906082,+41.9839930,-072.5555531,G6350,N,09,06082,Enfield,Connecticut,06082,54.000000000000000,50.000000000000000,48.000000000000000,39.000000000000000,35.000000000000000,28.000000000000000,160496834.097656011581421,53175.516933036597038,254,53175.516953112521151,160496834.075266659259796
25,20831103.000000000000000,131729.000000000000000,B5,S,0906053,+41.6901449,-072.7919400,G6350,N,09,06053,New Britain,Connecticut,06053,22.000000000000000,22.000000000000000,15.000000000000000,13.000000000000000,12.000000000000000,8.000000000000000,37620015.992187500000000,31663.712437179401604,92,31663.711705962530687,37620015.989193096756935
26,6604179.000000000000000,58558.000000000000000,B5,S,0906052,+41.6555683,-072.8031066,G6350,N,09,06052,New Britain,Connecticut,06052,6.000000000000000,4.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,11945373.621093800291419,18440.684201630898315,15,18440.684230827322608,11945373.562367329373956
27,2373324.000000000000000,5730.000000000000000,B5,S,0906023,+41.6125899,-072.7200952,G6350,N,09,06023,East Berlin,Connecticut,06023,3.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,2.000000000000000,4259613.863281250000000,10263.526189965799858,16,10263.526270612663211,4259613.934250569902360
28,66191877.000000000000000,1614298.000000000000000,B5,S,0906078,+41.9927306,-072.6514596,G6350,N,09,06078,Suffield,Connecticut,06078,7.000000000000000,9.000000000000000,6.000000000000000,6.000000000000000,8.000000000000000,9.000000000000000,122824416.019530996680260,50950.086401715401735,45,50950.086310859900550,122824415.980239555239677
29,21005202.000000000000000,1143823.000000000000000,B5,S,0906108,+41.7803750,-072.6239448,G6350,N,09,06108,East Hartford,Connecticut,06108,38.000000000000000,33.000000000000000,33.000000000000000,28.000000000000000,26.000000000000000,26.000000000000000,39862090.667968802154064,29043.887802912300685,184,29043.887821619093302,39862090.709401056170464
30,60476846.000000000000000,3895786.000000000000000,B5,S,0906480,+41.5988341,-072.5890709,G6350,N,09,06480,Portland,Connecticut,06480,24.000000000000000,16.000000000000000,14.000000000000000,20.000000000000000,20.000000000000000,23.000000000000000,115203993.699219003319740,47741.950174181598413,117,47741.950250999587297,115203993.609303846955299
31,751064.000000000000000,0.000000000000000,B5,S,0906414,+41.5722305,-072.5523185,G6350,N,09,06414,Cobalt,Connecticut,06414,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1342803.371093750000000,9595.770245404330126,1,9595.770165171132248,1342803.289581141434610
32,87556774.000000000000000,1380869.000000000000000,B5,S,0906029,+41.9151666,-072.4442938,G6350,N,09,06029,Ellington,Connecticut,06029,64.000000000000000,60.000000000000000,51.000000000000000,42.000000000000000,35.000000000000000,33.000000000000000,160731027.781250000000000,74314.636504877504194,285,74314.636466539683170,160731027.917089611291885
33,96800018.000000000000000,1748669.000000000000000,B5,S,0906238,+41.7800989,-072.3440207,G6350,N,09,06238,Coventry,Connecticut,06238,92.000000000000000,112.000000000000000,107.000000000000000,91.000000000000000,72.000000000000000,56.000000000000000,177372594.371093988418579,73315.185449427895946,530,73315.185775594989536,177372594.381411164999008
34,16897276.000000000000000,541093.000000000000000,B5,S,0906107,+41.7523037,-072.7580981,G6350,N,09,06107,West Hartford,Connecticut,06107,21.000000000000000,19.000000000000000,27.000000000000000,22.000000000000000,20.000000000000000,19.000000000000000,31358289.839843798428774,30114.283693575798679,128,30114.283997152808297,31358289.946179777383804
35,35084682.000000000000000,0.000000000000000,B5,S,0906090,+41.9464839,-072.8631854,G6350,N,09,06090,West Granby,Connecticut,06090,3.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,63468196.105468802154064,38219.707022767201124,9,38219.707275057677180,63468196.027401514351368
36,43790996.000000000000000,933957.000000000000000,B5,S,0906073,+41.6644423,-072.5550402,G6350,N,09,06073,South Glastonbury,Connecticut,06073,6.000000000000000,4.000000000000000,4.000000000000000,5.000000000000000,5.000000000000000,3.000000000000000,80193244.332031294703484,55695.575070278602652,27,55695.575102899376361,80193244.473269075155258
37,27027751.000000000000000,327214.000000000000000,B5,S,0906042,+41.8027782,-072.5209873,G6350,N,09,06042,Manchester,Connecticut,06042,57.000000000000000,57.000000000000000,48.000000000000000,43.000000000000000,41.000000000000000,33.000000000000000,49256693.238281302154064,36815.375623220097623,279,36815.375477431269246,49256693.376819476485252
38,30071926.000000000000000,1290030.000000000000000,B5,S,0906416,+41.6165508,-072.6616042,G6350,N,09,06416,Cromwell,Connecticut,06416,33.000000000000000,38.000000000000000,39.000000000000000,35.000000000000000,29.000000000000000,28.000000000000000,56153022.417968802154064,38659.158226919098524,202,38659.158203258295543,56153022.373090863227844
39,7065436.000000000000000,13593.000000000000000,B5,S,0906112,+41.7933364,-072.6958230,G6350,N,09,06112,Hartford,Connecticut,06112,34.000000000000000,40.000000000000000,30.000000000000000,32.000000000000000,32.000000000000000,22.000000000000000,12745124.355468800291419,17441.278608157299459,190,17441.278577781293279,12745124.349236272275448
40,72031677.000000000000000,1803988.000000000000000,B5,S,0906489,+41.6143979,-072.8695674,G6350,N,09,06489,Southington,Connecticut,06489,39.000000000000000,33.000000000000000,28.000000000000000,36.000000000000000,34.000000000000000,37.000000000000000,132198126.230469003319740,68547.115510403105873,207,68547.115006096486468,132198126.296240553259850
41,25732555.000000000000000,666960.000000000000000,B5,S,0906117,+41.7851600,-072.7635638,G6350,N,09,06117,West Hartford,Connecticut,06117,16.000000000000000,16.000000000000000,11.000000000000000,9.000000000000000,8.000000000000000,7.000000000000000,47520679.718750000000000,39605.309062891101348,67,39605.309417387383291,47520679.599603742361069
42,10951801.000000000000000,254096.000000000000000,B5,S,0906106,+41.7485873,-072.6960065,G6350,N,09,06106,Hartford,Connecticut,06106,23.000000000000000,21.000000000000000,25.000000000000000,24.000000000000000,27.000000000000000,22.000000000000000,20147453.761718798428774,31409.782794197399198,142,31409.783534802059876,20147453.768633343279362
43,38846825.000000000000000,169595.000000000000000,B5,S,0906016,+41.9018988,-072.5474318,G6350,N,09,06016,Broad Brook,Connecticut,06016,12.000000000000000,8.000000000000000,4.000000000000000,6.000000000000000,7.000000000000000,10.000000000000000,70487930.910156294703484,42727.021477778296685,47,42727.021181388015975,70487931.069453492760658
44,43268546.000000000000000,142619.000000000000000,B5,S,0906093,+42.0132101,-072.7173708,G6350,N,09,06093,West Suffield,Connecticut,06093,6.000000000000000,5.000000000000000,7.000000000000000,8.000000000000000,4.000000000000000,1.000000000000000,78669118.281250000000000,52704.799356559902662,31,52704.799199745633814,78669118.191196545958519
45,22356020.000000000000000,39765.000000000000000,B5,S,0906092,+41.8734524,-072.8605236,G6350,N,09,06092,West Simsbury,Connecticut,06092,6.000000000000000,6.000000000000000,6.000000000000000,5.000000000000000,2.000000000000000,2.000000000000000,40421971.339843802154064,48961.977997483896615,27,48961.977971782253007,40421971.164222121238708
46,34846672.000000000000000,997338.000000000000000,B5,S,0906067,+41.6566243,-072.6617787,G6350,N,09,06067,Rocky Hill,Connecticut,06067,21.000000000000000,23.000000000000000,15.000000000000000,17.000000000000000,20.000000000000000,21.000000000000000,64263334.761718802154064,37641.129441857199708,117,37641.129267326774425,64263334.652075067162514
47,36345690.000000000000000,380875.000000000000000,B5,S,0906450,+41.5358117,-072.7756859,G6350,N,09,06450,Meriden,Connecticut,06450,16.000000000000000,20.000000000000000,21.000000000000000,20.000000000000000,21.000000000000000,19.000000000000000,65594696.863281302154064,34373.332591585298360,117,34373.332753400885849,65594696.976308979094028
48,37326699.000000000000000,766251.000000000000000,B5,S,0906043,+41.7645883,-072.4375755,G6350,N,09,06043,Bolton,Connecticut,06043,26.000000000000000,28.000000000000000,29.000000000000000,26.000000000000000,21.000000000000000,14.000000000000000,68526233.375000000000000,34669.350131190301909,144,34669.350202850109781,68526233.445875793695450
49,8639056.000000000000000,0.000000000000000,B5,S,0906110,+41.7326835,-072.7336019,G6350,N,09,06110,West Hartford,Connecticut,06110,6.000000000000000,12.000000000000000,11.000000000000000,11.000000000000000,11.000000000000000,11.000000000000000,15524792.359375000000000,19999.568981015199824,62,19999.569024559601530,15524792.371679373085499
50,68381017.000000000000000,1046767.000000000000000,B5,S,0906010,+41.6815776,-072.9407487,G6350,N,09,06010,Bristol,Connecticut,06010,46.000000000000000,42.000000000000000,34.000000000000000,32.000000000000000,33.000000000000000,29.000000000000000,124566380.800780996680260,46487.061714199197013,216,46487.061659444458201,124566380.874916538596153
51,39708852.000000000000000,373679.000000000000000,B5,S,0906035,+41.9606816,-072.8038465,G6350,N,09,06035,Granby,Connecticut,06035,11.000000000000000,9.000000000000000,8.000000000000000,8.000000000000000,6.000000000000000,9.000000000000000,72541181.101562500000000,44028.003359230897331,51,44028.003302876371890,72541181.053411915898323
52,60479195.000000000000000,444481.000000000000000,B5,S,0906447,+41.6364390,-072.4540018,G6350,N,09,06447,Marlborough,Connecticut,06447,26.000000000000000,29.000000000000000,25.000000000000000,50.000000000000000,42.000000000000000,43.000000000000000,109146543.742188006639481,43135.148601499196957,215,43135.148847919190302,109146543.828572914004326
53,67502002.000000000000000,428529.000000000000000,B5,S,0906002,+41.8449305,-072.7409509,G6350,N,09,06002,Bloomfield,Connecticut,06002,26.000000000000000,33.000000000000000,34.000000000000000,30.000000000000000,31.000000000000000,31.000000000000000,122490042.812500000000000,52330.356633717899967,185,52330.356480389702483,122490042.717294484376907
54,43614027.000000000000000,235492.000000000000000,B5,S,0906026,+41.9297190,-072.7453784,G6350,N,09,06026,East Granby,Connecticut,06026,8.000000000000000,6.000000000000000,4.000000000000000,7.000000000000000,8.000000000000000,5.000000000000000,79314458.921875000000000,47089.783736838398909,38,47089.783405454400054,79314459.000463634729385
55,25324028.000000000000000,559642.000000000000000,B5,S,0906451,+41.5419056,-072.8234089,G6350,N,09,06451,Meriden,Connecticut,06451,11.000000000000000,13.000000000000000,14.000000000000000,13.000000000000000,6.000000000000000,7.000000000000000,46241739.152343802154064,37205.380545458603592,64,37205.380195110941713,46241739.309358328580856
56,18987.000000000000000,0.000000000000000,B5,S,0906020,+41.8346055,-072.9288350,G6350,N,09,06020,Canton,Connecticut,06020,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,34227.894531250000000,1270.995218746299997,0,1270.995158011962303,34227.902923333240324
57,94463646.000000000000000,2940724.000000000000000,B5,S,0906057,+41.8410406,-072.9986804,G6350,N,09,06057,New Hartford,Connecticut,06057,10.000000000000000,12.000000000000000,13.000000000000000,6.000000000000000,4.000000000000000,3.000000000000000,175644737.789063006639481,71525.058076480301679,48,71525.058405907053384,175644737.876713991165161
58,106236270.000000000000000,3487775.000000000000000,B5,S,0906457,+41.5495338,-072.6577193,G6350,N,09,06457,Middletown,Connecticut,06457,30.000000000000000,28.000000000000000,34.000000000000000,36.000000000000000,38.000000000000000,32.000000000000000,196058221.265625000000000,72681.820530847500777,198,72681.820106321494677,196058221.314545214176178
59,28103982.000000000000000,1538526.000000000000000,B5,S,0906455,+41.5141630,-072.7178435,G6350,N,09,06455,Middlefield,Connecticut,06455,3.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,4.000000000000000,52913100.507812500000000,39005.325763413398818,20,39005.325625198813214,52913100.494445152580738
60,39996592.000000000000000,639655.000000000000000,B5,S,0906232,+41.7329821,-072.3746584,G6350,N,09,06232,Andover,Connecticut,06232,27.000000000000000,20.000000000000000,22.000000000000000,25.000000000000000,20.000000000000000,30.000000000000000,73026098.121093794703484,35167.848768126597861,144,35167.848735453488189,73026098.097540333867073
61,45866666.000000000000000,970662.000000000000000,B5,S,0906066,+41.8375231,-072.4591228,G6350,N,09,06066,Vernon Rockville,Connecticut,06066,74.000000000000000,68.000000000000000,67.000000000000000,67.000000000000000,96.000000000000000,102.000000000000000,84439444.968750000000000,38780.188000104499224,474,38780.187892847752664,84439444.706578105688095
62,5284985.000000000000000,0.000000000000000,B5,S,0906119,+41.7634210,-072.7272081,G6350,N,09,06119,West Hartford,Connecticut,06119,15.000000000000000,15.000000000000000,13.000000000000000,14.000000000000000,15.000000000000000,14.000000000000000,9506376.089843750000000,14492.643672739399335,86,14492.643835125087207,9506376.115733332931995
63,65768256.000000000000000,1705949.000000000000000,B5,S,0906037,+41.6054768,-072.7784592,G6350,N,09,06037,Berlin,Connecticut,06037,27.000000000000000,37.000000000000000,33.000000000000000,25.000000000000000,27.000000000000000,21.000000000000000,120800980.613280996680260,55311.546366844100703,170,55311.545539490529336,120800980.365874588489532
64,58984447.000000000000000,1541344.000000000000000,B5,S,0906032,+41.7252225,-072.8303088,G6350,N,09,06032,Farmington,Connecticut,06032,10.000000000000000,8.000000000000000,10.000000000000000,9.000000000000000,7.000000000000000,4.000000000000000,108742669.277344003319740,58779.831786107402877,48,58779.831467984222400,108742669.065292894840240
65,103265782.000000000000000,1630210.000000000000000,B5,S,0906084,+41.8824880,-072.3590679,G6350,N,09,06084,Tolland,Connecticut,06084,76.000000000000000,74.000000000000000,73.000000000000000,63.000000000000000,67.000000000000000,51.000000000000000,189358665.234375000000000,60138.877798184003041,404,60138.877725714133703,189358665.259689092636108
66,22634325.000000000000000,181508.000000000000000,B5,S,0906062,+41.6736388,-072.8597289,G6350,N,09,06062,Plainville,Connecticut,06062,20.000000000000000,13.000000000000000,7.000000000000000,8.000000000000000,7.000000000000000,8.000000000000000,40926064.839843802154064,27059.068587450401537,63,27059.068696530015586,40926064.809028945863247
67,31883298.000000000000000,2071376.000000000000000,B5,S,0906109,+41.7024837,-072.6693014,G6350,N,09,06109,Wethersfield,Connecticut,06109,47.000000000000000,42.000000000000000,35.000000000000000,26.000000000000000,26.000000000000000,33.000000000000000,60958872.355468802154064,40875.453108142100973,209,40875.452995725143410,60958872.430843971669674
68,4196745.000000000000000,0.000000000000000,B5,S,0906022,+41.8654333,-072.9273265,G6350,N,09,06022,Canton,Connecticut,06022,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7572805.976562500000000,12943.235646131899557,0,12943.235949119753059,7572806.011008745990694
69,43949945.000000000000000,393095.000000000000000,B5,S,0906040,+41.7614154,-072.5256080,G6350,N,09,06040,Manchester,Connecticut,06040,76.000000000000000,82.000000000000000,83.000000000000000,80.000000000000000,91.000000000000000,69.000000000000000,79757784.402343794703484,42572.604913605799084,481,42572.604570623610925,79757784.468241021037102
70,104288107.000000000000000,4935712.000000000000000,B5,S,0906424,+41.5606030,-072.5023286,G6350,N,09,06424,East Hampton,Connecticut,06424,43.000000000000000,50.000000000000000,46.000000000000000,39.000000000000000,34.000000000000000,29.000000000000000,195232021.625000000000000,89112.252966511194245,241,89112.252507479686756,195232021.605541527271271
71,2253121.000000000000000,1030501.000000000000000,B5,S,0906456,+41.5166903,-072.5537513,G6350,N,09,06456,Middle Haddam,Connecticut,06456,4.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5865851.179687500000000,22272.061421585698554,7,22272.061128484830988,5865851.180625720880926